"Altitude","Density"
11070,0.00169723
11080,0.00169669
11090,0.00169615
11100,0.00169561
11110,0.00169508
11120,0.00169454
11130,0.001694
11140,0.00169347
11150,0.00169293
11160,0.00169239
11170,0.00169186
11180,0.00169132
11190,0.00169078
11200,0.00169025
11210,0.00168971
11220,0.00168918
11230,0.00168864
11240,0.00168811
11250,0.00168757
11260,0.00168704
11270,0.0016865
11280,0.00168597
11290,0.00168543
11300,0.0016849
11310,0.00168436
11320,0.00168383
11330,0.00168329
11340,0.00168276
11350,0.00168222
11360,0.00168169
11370,0.00168116
11380,0.00168062
11390,0.00168009
11400,0.00167956
11410,0.00167902
11420,0.00167849
11430,0.00167796
11440,0.00167742
11450,0.00167689
11460,0.00167636
11470,0.00167583
11480,0.0016753
11490,0.00167476
11500,0.00167423
11510,0.0016737
11520,0.00167317
11530,0.00167264
11540,0.0016721
11550,0.00167157
11560,0.00167104
11570,0.00167051
11580,0.00166998
11590,0.00166945
11600,0.00166892
11610,0.00166839
11620,0.00166786
11630,0.00166733
11640,0.0016668
11650,0.00166627
11660,0.00166574
11670,0.00166521
11680,0.00166468
11690,0.00166415
11700,0.00166362
11710,0.00166309
11720,0.00166256
11730,0.00166203
11740,0.0016615
11750,0.00166097
11760,0.00166044
11770,0.00165991
11780,0.00165939
11790,0.00165886
11800,0.00165833
11810,0.0016578
11820,0.00165727
11830,0.00165675
11840,0.00165622
11850,0.00165569
11860,0.00165516
11870,0.00165464
11880,0.00165411
11890,0.00165358
11900,0.00165306
11910,0.00165253
11920,0.001652
11930,0.00165148
11940,0.00165095
11950,0.00165042
11960,0.0016499
11970,0.00164937
11980,0.00164884
11990,0.00164832
12000,0.00164779
12010,0.00164727
12020,0.00164674
12030,0.00164622
12040,0.00164569
12050,0.00164517
12060,0.00164464
12070,0.00164412
12080,0.00164359
12090,0.00164307
12100,0.00164254
12110,0.00164202
12120,0.0016415
12130,0.00164097
12140,0.00164045
12150,0.00163992
12160,0.0016394
12170,0.00163888
12180,0.00163835
12190,0.00163783
12200,0.00163731
12210,0.00163679
12220,0.00163626
12230,0.00163574
12240,0.00163522
12250,0.0016347
12260,0.00163417
12270,0.00163365
12280,0.00163313
12290,0.00163261
12300,0.00163209
12310,0.00163156
12320,0.00163104
12330,0.00163052
12340,0.00163
12350,0.00162948
12360,0.00162896
12370,0.00162844
12380,0.00162792
12390,0.0016274
12400,0.00162687
12410,0.00162635
12420,0.00162583
12430,0.00162531
12440,0.00162479
12450,0.00162427
12460,0.00162375
12470,0.00162323
12480,0.00162272
12490,0.0016222
12500,0.00162168
12510,0.00162116
12520,0.00162064
12530,0.00162012
12540,0.0016196
12550,0.00161908
12560,0.00161856
12570,0.00161805
12580,0.00161753
12590,0.00161701
12600,0.00161649
12610,0.00161597
12620,0.00161546
12630,0.00161494
12640,0.00161442
12650,0.0016139
12660,0.00161339
12670,0.00161287
12680,0.00161235
12690,0.00161184
12700,0.00161132
12710,0.0016108
12720,0.00161029
12730,0.00160977
12740,0.00160925
12750,0.00160874
12760,0.00160822
12770,0.00160771
12780,0.00160719
12790,0.00160667
12800,0.00160616
12810,0.00160564
12820,0.00160513
12830,0.00160461
12840,0.0016041
12850,0.00160358
12860,0.00160307
12870,0.00160256
12880,0.00160204
12890,0.00160153
12900,0.00160101
12910,0.0016005
12920,0.00159998
12930,0.00159947
12940,0.00159896
12950,0.00159844
12960,0.00159793
12970,0.00159742
12980,0.0015969
12990,0.00159639
13000,0.00159588
13010,0.00159537
13020,0.00159485
13030,0.00159434
13040,0.00159383
13050,0.00159332
13060,0.0015928
13070,0.00159229
13080,0.00159178
13090,0.00159127
13100,0.00159076
13110,0.00159024
13120,0.00158973
13130,0.00158922
13140,0.00158871
13150,0.0015882
13160,0.00158769
13170,0.00158718
13180,0.00158667
13190,0.00158616
13200,0.00158565
13210,0.00158514
13220,0.00158463
13230,0.00158412
13240,0.00158361
13250,0.0015831
13260,0.00158259
13270,0.00158208
13280,0.00158157
13290,0.00158106
13300,0.00158055
13310,0.00158004
13320,0.00157953
13330,0.00157902
13340,0.00157851
13350,0.00157801
13360,0.0015775
13370,0.00157699
13380,0.00157648
13390,0.00157597
13400,0.00157547
13410,0.00157496
13420,0.00157445
13430,0.00157394
13440,0.00157344
13450,0.00157293
13460,0.00157242
13470,0.00157191
13480,0.00157141
13490,0.0015709
13500,0.00157039
13510,0.00156989
13520,0.00156938
13530,0.00156888
13540,0.00156837
13550,0.00156786
13560,0.00156736
13570,0.00156685
13580,0.00156635
13590,0.00156584
13600,0.00156534
13610,0.00156483
13620,0.00156432
13630,0.00156382
13640,0.00156331
13650,0.00156281
13660,0.00156231
13670,0.0015618
13680,0.0015613
13690,0.00156079
