,0,1,2,3,4,5,6
145,25.0,0.97,42.0,171.0,0.001,8.0,422.0
146,16.0,0.97,70.0,91.0,0.001,11.7,183.0
147,20.0,0.97,106.0,100.0,0.0002,8.0,228.0
148,28.0,2.2,147.0,104.0,0.0021,11.7,562.0
149,28.0,2.2,76.0,169.0,0.0001,11.7,331.0
150,6.0,0.97,243.0,65.0,0.0018,8.0,243.0
151,14.0,2.2,141.0,145.0,0.0016,11.7,866.0
152,18.0,0.97,226.0,137.0,0.0023,8.0,1204.0
153,24.0,2.2,147.0,132.0,0.0023,11.7,844.0
154,6.0,0.97,108.0,84.0,0.0015,11.7,138.0
155,7.0,0.97,79.0,166.0,0.0006,8.0,262.0
156,15.0,0.97,67.0,87.0,0.001,8.0,197.0
157,6.0,0.97,85.0,154.0,0.0017,11.7,420.0
158,10.0,0.97,159.0,162.0,0.0011,8.0,822.0
159,16.0,2.2,182.0,159.0,0.0004,11.7,827.0
160,19.0,2.2,128.0,96.0,0.0017,11.7,427.0
161,11.0,0.97,36.0,150.0,0.0018,8.0,358.0
162,21.0,0.97,49.0,97.0,0.0006,11.7,134.0
163,29.0,2.2,152.0,89.0,0.0013,8.0,492.0
164,16.0,2.2,130.0,115.0,0.0018,8.0,709.0
165,15.0,0.97,73.0,168.0,0.0002,11.7,301.0
166,28.0,2.2,99.0,172.0,0.0018,8.0,1196.0
167,18.0,2.2,199.0,60.0,0.0009,11.7,315.0
168,14.0,0.97,149.0,160.0,0.0012,11.7,778.0
169,24.0,2.2,177.0,160.0,0.0012,11.7,1109.0
170,30.0,2.2,31.0,85.0,0.0007,8.0,119.0
171,21.0,0.97,61.0,154.0,0.0004,8.0,349.0
172,19.0,0.97,173.0,117.0,0.0022,8.0,759.0
173,10.0,0.97,95.0,75.0,0.0019,11.7,210.0
174,22.0,0.97,248.0,102.0,0.0022,8.0,808.0
175,9.0,2.2,248.0,129.0,0.002,11.7,1143.0
176,19.0,0.97,141.0,62.0,0.0017,8.0,265.0
177,30.0,0.97,194.0,140.0,0.0004,8.0,702.0
178,14.0,0.97,192.0,79.0,0.0002,11.7,192.0
179,21.0,0.97,158.0,66.0,0.0018,8.0,314.0
180,28.0,0.97,99.0,119.0,0.0021,11.7,417.0
181,14.0,2.2,162.0,129.0,0.0008,11.7,656.0
182,8.0,2.2,231.0,156.0,0.0005,11.7,622.0
183,23.0,2.2,74.0,63.0,0.0009,8.0,165.0
184,19.0,0.97,81.0,159.0,0.0023,8.0,754.0
185,14.0,0.97,99.0,98.0,0.001,11.7,264.0
186,9.0,0.97,120.0,66.0,0.0007,11.7,120.0
187,7.0,2.2,204.0,113.0,0.0017,8.0,727.0
188,10.0,0.97,116.0,140.0,0.0013,11.7,531.0
189,21.0,2.2,73.0,91.0,0.0001,11.7,141.0
190,16.0,2.2,91.0,99.0,0.001,8.0,367.0
191,12.0,2.2,73.0,137.0,0.0009,8.0,519.0
192,18.0,0.97,141.0,178.0,0.0003,8.0,725.0
193,29.0,2.2,96.0,97.0,0.0007,8.0,338.0
194,7.0,2.2,115.0,128.0,0.0019,11.7,637.0
195,6.0,2.2,39.0,89.0,0.0009,8.0,149.0
196,9.0,2.2,177.0,159.0,0.0023,11.7,1326.0
197,21.0,0.97,36.0,112.0,0.0012,11.7,155.0
198,28.0,0.97,157.0,165.0,0.0003,11.7,589.0
199,7.0,0.97,48.0,90.0,0.0017,11.7,151.0
200,21.0,0.97,214.0,84.0,0.001,11.7,410.0
201,15.0,0.97,46.0,107.0,0.0022,8.0,250.0
202,20.0,0.97,42.0,131.0,0.0004,11.7,167.0
203,29.0,2.2,74.0,71.0,0.0002,8.0,142.0
204,14.0,2.2,178.0,175.0,0.0016,11.7,1414.0
205,7.0,2.2,162.0,156.0,0.0018,8.0,1225.0
206,25.0,0.97,237.0,155.0,0.0015,11.7,1102.0
207,29.0,0.97,106.0,132.0,0.0007,11.7,388.0
208,8.0,0.97,211.0,78.0,0.002,11.7,288.0
209,28.0,0.97,176.0,130.0,0.0003,8.0,547.0
210,8.0,0.97,137.0,71.0,0.0005,8.0,137.0
211,6.0,0.97,46.0,180.0,0.0011,8.0,381.0
212,13.0,2.2,161.0,147.0,0.0003,11.7,600.0
213,27.0,2.2,219.0,170.0,0.0022,8.0,2152.0
214,16.0,2.2,58.0,70.0,0.0009,8.0,155.0
215,30.0,2.2,155.0,136.0,0.0016,11.7,832.0
216,14.0,2.2,48.0,163.0,0.0021,11.7,544.0
217,10.0,2.2,216.0,139.0,0.0018,11.7,1133.0
218,17.0,0.97,25.0,68.0,0.0021,8.0,78.0
219,17.0,2.2,55.0,90.0,0.0015,8.0,242.0
220,24.0,0.97,221.0,73.0,0.0005,8.0,372.0
221,19.0,2.2,86.0,111.0,0.0018,8.0,497.0
222,30.0,0.97,91.0,174.0,0.0007,11.7,539.0
223,11.0,2.2,198.0,97.0,0.0022,8.0,776.0
224,15.0,0.97,215.0,89.0,0.0001,11.7,215.0
225,30.0,2.2,18.0,165.0,0.0009,8.0,277.0
226,17.0,0.97,215.0,77.0,0.0003,11.7,215.0
227,23.0,0.97,149.0,75.0,0.0022,8.0,361.0
228,21.0,2.2,174.0,85.0,0.0002,11.7,306.0
229,10.0,0.97,25.0,75.0,0.001,11.7,63.0
230,21.0,0.97,102.0,92.0,0.0004,8.0,242.0
231,21.0,2.2,14.0,74.0,0.0019,8.0,69.0
232,21.0,2.2,118.0,110.0,0.0006,11.7,380.0
233,24.0,0.97,57.0,102.0,0.0016,8.0,248.0
234,11.0,2.2,170.0,68.0,0.0002,8.0,170.0
235,19.0,0.97,129.0,141.0,0.001,11.7,545.0
236,20.0,0.97,172.0,98.0,0.0008,8.0,458.0
237,10.0,2.2,179.0,166.0,0.0019,11.7,1361.0
238,14.0,0.97,25.0,112.0,0.0003,11.7,83.0
239,16.0,0.97,240.0,157.0,0.0013,11.7,1092.0
240,20.0,0.97,198.0,83.0,0.0005,8.0,376.0
241,18.0,0.97,42.0,113.0,0.0018,8.0,243.0
242,10.0,0.97,182.0,140.0,0.0021,8.0,991.0
243,17.0,0.97,69.0,104.0,0.0014,8.0,284.0
244,27.0,2.2,205.0,136.0,0.0002,8.0,723.0
245,13.0,0.97,37.0,172.0,0.0012,11.7,328.0
246,30.0,0.97,43.0,85.0,0.0009,11.7,111.0
247,19.0,2.2,217.0,120.0,0.0022,8.0,1164.0
248,20.0,2.2,73.0,156.0,0.0022,11.7,680.0
249,23.0,2.2,80.0,80.0,0.0007,8.0,224.0
250,24.0,0.97,26.0,85.0,0.0008,8.0,88.0
251,22.0,2.2,97.0,147.0,0.0019,8.0,897.0
252,19.0,2.2,65.0,148.0,0.0015,11.7,509.0
253,8.0,0.97,83.0,108.0,0.0016,11.7,288.0
254,15.0,2.2,95.0,116.0,0.0014,11.7,434.0
255,19.0,0.97,42.0,153.0,0.0021,8.0,434.0
256,21.0,0.97,211.0,166.0,0.0004,8.0,970.0
257,6.0,2.2,141.0,73.0,0.0009,8.0,141.0
258,26.0,0.97,62.0,74.0,0.0006,11.7,118.0
259,16.0,2.2,54.0,129.0,0.0022,11.7,393.0
260,26.0,2.2,193.0,95.0,0.0004,8.0,495.0
261,18.0,2.2,34.0,111.0,0.0015,8.0,244.0
262,17.0,2.2,196.0,102.0,0.0015,8.0,754.0
263,13.0,2.2,97.0,157.0,0.0008,8.0,777.0
264,14.0,0.97,48.0,102.0,0.001,8.0,193.0
265,30.0,0.97,238.0,98.0,0.0008,8.0,591.0
266,9.0,2.2,248.0,103.0,0.0015,8.0,811.0
267,19.0,0.97,200.0,71.0,0.0006,11.7,305.0
268,24.0,0.97,75.0,149.0,0.0002,8.0,318.0
269,18.0,0.97,174.0,117.0,0.0008,8.0,589.0
270,28.0,2.2,14.0,173.0,0.0011,8.0,275.0
271,27.0,0.97,37.0,122.0,0.0022,11.7,215.0
272,23.0,2.2,177.0,166.0,0.0008,8.0,1310.0
273,13.0,2.2,236.0,141.0,0.0017,8.0,1509.0
274,19.0,0.97,23.0,68.0,0.0006,11.7,47.0
275,19.0,0.97,227.0,96.0,0.0023,8.0,701.0
276,28.0,2.2,214.0,109.0,0.0007,11.7,615.0
277,21.0,2.2,168.0,89.0,0.0006,11.7,380.0
278,25.0,0.97,143.0,87.0,0.0009,8.0,349.0
279,26.0,2.2,242.0,64.0,0.0005,11.7,364.0
280,14.0,0.97,57.0,116.0,0.001,11.7,220.0
281,25.0,0.97,200.0,96.0,0.0019,11.7,513.0
282,27.0,2.2,112.0,130.0,0.002,8.0,811.0
283,29.0,0.97,76.0,159.0,0.0003,11.7,324.0
284,26.0,2.2,12.0,64.0,0.0014,8.0,45.0
285,16.0,2.2,151.0,178.0,0.0004,8.0,1079.0
286,30.0,2.2,125.0,142.0,0.0009,11.7,652.0
287,13.0,2.2,61.0,177.0,0.0021,8.0,954.0
288,28.0,2.2,227.0,154.0,0.0002,8.0,942.0
289,29.0,0.97,39.0,77.0,0.0018,8.0,126.0
290,24.0,2.2,75.0,130.0,0.0001,11.7,223.0
291,29.0,2.2,13.0,123.0,0.0019,11.7,127.0
292,24.0,2.2,17.0,89.0,0.0005,8.0,75.0
293,19.0,2.2,145.0,155.0,0.0016,11.7,990.0
294,27.0,2.2,180.0,67.0,0.0015,11.7,348.0
295,24.0,0.97,24.0,101.0,0.0001,11.7,55.0
296,18.0,0.97,238.0,79.0,0.0021,8.0,553.0
297,13.0,0.97,175.0,124.0,0.0003,11.7,281.0
298,26.0,2.2,152.0,165.0,0.0007,11.7,899.0
299,27.0,2.2,241.0,168.0,0.0001,8.0,941.0
300,27.0,0.97,176.0,176.0,0.0012,8.0,1280.0
301,13.0,0.97,229.0,95.0,0.001,8.0,485.0
302,11.0,0.97,112.0,142.0,0.0013,11.7,532.0
303,10.0,2.2,90.0,93.0,0.0008,11.7,261.0
304,24.0,2.2,99.0,91.0,0.0015,11.7,316.0
305,22.0,0.97,247.0,120.0,0.0017,8.0,961.0
306,28.0,2.2,140.0,149.0,0.0001,11.7,435.0
307,8.0,0.97,12.0,139.0,0.0019,8.0,149.0
308,27.0,2.2,89.0,149.0,0.0003,8.0,503.0
309,20.0,0.97,82.0,72.0,0.0016,11.7,172.0
